name,num,images,description,website
白山浴場,1,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_6864-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_6865-350x244.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_6866-350x243.jpg""]",小石川植物園入口より徒歩２～３分。日替わり薬湯を実施しています。掃除に力を入れていますから、清潔な浴場としての自信があります。最新の銭湯情報はこちら,http://www.sentou-bunkyo.com/pg63.html
ニコニコ湯,2,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_7113-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_7114-350x234.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_7115-350x234.jpg""]",薬湯でリラックス、エステでマッサージ、小プールでお子さんも大喜び。浴室が男女で日替わりのため、設備が毎日異なります。日替わりの薬湯を実施。浴槽設備の種類が豊富です。銭湯ランナー歓迎(荷物の一時預かり可能)。WEB1010の紹介記事はこちら。最新の銭湯情報はこちら,https://adachi1010.tokyo/archives/473
あづま浴泉,3,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_4882-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_4883-350x263.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_4884-350x263.jpg""]",高い天井の広い浴室には自然光が入り、リラックスできる空間になっています。いつも清潔です。浴槽設備の種類が豊富で、日替わり薬湯が人気です。よく冷えた水風呂も好評。広いロビーで大型テレビを楽しんでお帰りください。インドアビューはこちら。紹介エッセイはこちら。最新の銭湯情報はこちら,https://www.oyunofuji1010.com/gallery/2067/
湯の楽代田橋温泉,4,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_5169-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_5170-350x263.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_5171-350x263.jpg""]",甲州街道沿いの分かりやすい場所にあります。２つの浴室を毎日男女入れ替えて、異なる設備を楽しんでもらえます。「かぐらの湯」は日替わり薬湯、塩サウナなど、「いずみの湯」は露天風呂、高温サウナなどがあります。インドアビューはこちら。最新の銭湯情報はこちら,https://suginami1010.com/yunoraku/
丸正浴場,5,"[""https://www.1010.or.jp/map/wp-content/uploads/2015/03/marushou06_women_9370-1000x665-1-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/marushou05_men_9343-1000x665-1-300x200.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/marushou07_tile-art_9340-1000x666-1-300x200.jpg""]",ジェット、バイブラ、水風呂、薬湯、立ちシャワー、サウナなどを設置。浴室はモザイクタイルがあります。最新の銭湯情報はこちら,https://www.setagaya1010.tokyo/guide/marusho-yokujou/
銀座湯,6,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_5857-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_5858-265x350.jpg""]",当店が最も心掛けているのは「清潔」。清掃には特に力を入れています。銭湯ランナーのために荷物の一時預かりをしていますが、好評です。ジェットバスあり。京橋駅から2分、銀座１丁目駅から5分の便利な立地です。最新の銭湯情報はこちら,http://www.268chuou.com/
鶴の湯,7,"[""https://www.1010.or.jp/map/wp-content/uploads/2015/03/3106-1-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/3106-10-300x201.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/3106-9-300x201.jpg""]",レトロな雰囲気が楽しめる銭湯で、水質のよい井戸水を沸かして使っています。熱めのお湯が自慢の昔ながらの銭湯です。最新の銭湯情報はこちら,https://www.taitosento.com/
堤柳泉,8,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_6748-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_6749-350x235.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_6750-350x235.jpg""]",ドライヤーは無料でお使いいただけます。日替わりの薬湯が人気です。※2022年4月28日、天然温泉として認められました。WEB1010の紹介記事はこちら。最新の銭湯情報はこちら,https://www.taitosento.com/
富久の湯,9,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_6792-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_6793-197x350.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_6794-197x350.jpg""]",高い天井、広々とした空間で、大変貴重なモザイクタイルが特徴です。最終受付は営業終了30分前。清潔、挨拶、庭の手入れが行き届いているのが自慢。ドライヤーは無料です。最新の銭湯情報はこちら,https://fukunoyu1010.com/
白山浴場,10,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_6864-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_6865-350x244.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_6866-350x243.jpg""]",小石川植物園入口より徒歩２～３分。日替わり薬湯を実施しています。掃除に力を入れていますから、清潔な浴場としての自信があります。最新の銭湯情報はこちら,http://www.sentou-bunkyo.com/pg63.html
ふれあいの湯,11,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_6920-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_6921-350x243.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_6922-350x244.jpg""]",熱めのお湯と強力なジェットバスが自慢で、ドライヤーの使用は無料。独立した休憩室には大画面のテレビがあり、湯上がりにジュース等を飲みながら、ゆったりとくつろげます。きちんとした挨拶と清潔感を大切にしています。最新の銭湯情報はこちら,http://www.city.minato.tokyo.jp/shisetsu/sonota/koshuyokujo/01.html
大勝湯,12,"[""https://www.1010.or.jp/map/wp-content/uploads/2015/03/8c4e89762b51ecd341268996475ea1dc-250x170.jpg""]",遠くの温泉より近くの大勝湯。薪で沸かした薬湯のほか、塩湯や水風呂なども人気。ドライヤーは無料です。最新の銭湯情報はこちら,https://arakawa-sento.jp/2026/03/07/daisyoyu/
タイムリゾート,13,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_6969-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_6970-258x350.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_6971-260x350.jpg""]",浴槽の種類が豊富で、特にラドン浴室、岩風呂をお客さまに喜んでいただいています。広くてくつろげるロビーでBGMをお楽しみください。サウナは男湯のみです。WEB1010の紹介記事はこちら。最新の銭湯情報はこちら,https://arakawa-sento.jp/2026/03/06/taimurizoto/
高砂湯,14,"[""https://www.1010.or.jp/map/wp-content/uploads/2015/03/1_ph15-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/2_ph10-300x200.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/3_ph7-300x200.jpg""]",テレビ付サウナ室で疲労回復、明日への活力を養いましょう。浴室と浴槽の各所に転倒防止の手すりを設置しています。日替わりの薬湯、熱めのお湯、強力ジェット、よく冷えた水風呂、広いロビーが自慢です。銭湯ランナーの荷物の一時預かりサービスしています。最新の銭湯情報はこちら,
押上温泉 大黒湯,15,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_7001-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_7002-350x263.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_7003-350x233.jpg""]",天然温泉、日替わり薬湯、大きな露天風呂、スチーム塩サウナ、遠赤外線サウナ、高濃度の炭酸泉、ナノ温泉水、歩行浴、強力ジェット、スカイツリーが見える風呂などなど……自慢は尽きません。WEB1010の紹介記事はこちら。WEB1010の紹介記事（マンガ）はこちら。インドアビューはこちら。最新の銭湯情報はこちら,http://daikokuyu.com
